score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v2_bucket,v2_reason
100,arakaibeauty.com,Gift Of Beauty Gift Card at Ara'kai Beauty Copenhagen,https://arakaibeauty.com/products/ara-kai-beauty-gift-card-1?srsltid=AfmBOoqabxNySNlzw1kjskxS_gHwESRNbsoLwCsY88woJkA_3_FYCPRO,Gift Of Beauty Gift Card at Ara'kai Beauty Copenhagen,Share beauty and wellness with an Ara'kai Beauty Gift Card. The Ara´kai Beauty Gift Cards are redeemable at Ara´kai Beauty only (both online and in-store).,"""Denmark"" beauty ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,argento.com,Gifts E-Mail Gift Voucher Argento.com,https://www.argento.com/en/Gifts-E-Mail-Gift-Voucher/m-1803.aspx?srsltid=AfmBOoqzhwZvjMC0c5Vah7BTKRJI2SPSoGoELeZJGSLRqh82uqcLG5aQ,Gifts E-Mail Gift Voucher Argento.com,Give a loved one the present they've always wanted with an Argento Gift Voucher to spend on their favourite jewellery brands!,"""watches"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,aritswatches.com,Arits Watches & Co. Gift Card,https://aritswatches.com/products/arits-watches-co-gift-card,Arits Watches & Co. Gift Card,"Arits Watches & Co. Gift Card. Zoom. Arits Watches & Co. Gift Card. Sale price€150,00. Some moments ask for more than a bottle of wine or an envelope with cash ...","""watches"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
60,autowin.com,AutoWin Voucher,https://www.autowin.com/en-gr/products/autowin-gift-card?srsltid=AfmBOop1TyB53Ama6Kq8aggMlWnCYizKuAYaJbZhRFEHLb2I2diyjNd4,AutoWin Voucher,Gift the joy of luxury car accessories with an AutoWin Gift Card. Ideal for any car enthusiast! Shop now and elevate their ride.,"""car accessories"" ""gift card"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
80,bananaway.eu,Gift Voucher - Bananaway,https://bananaway.eu/products/gift,Gift Voucher - Bananaway,"Give the gift of adventure with a Bananaway gift voucher for sup lessons, equipment or trips. The perfect present for water sports lovers. From €10.","""water sports"" ""gift voucher"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,barber-strong.com,The Barber Strong Gift Card,https://barber-strong.com/products/show-your-favorite-barber-some-love-the-barber-strong-gift-card?srsltid=AfmBOoqdIFS-6sotsW7gcYr5jTuwxArhRO6xZjqZFG9sl4mlcSC9Tgdq,The Barber Strong Gift Card,Hands-down the best way to show your favorite barber some love! HERE'S HOW OUR DIGITAL GIFT CARD WORKS: 1. Select the $ amount you'd like to gift,"""barber"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,beleaev.com,Beleaev E,https://beleaev.com/products/beleaev-gift-card?srsltid=AfmBOopmqh2f5A-5gPLIQM5lp7uq9OeqlOTbsC5M6wXP67No_pq-bTSh,Beleaev E-Gift Card | Caviar & Gourmet Gift Voucher,"Beleaev e-gift card digital gift voucher for online shopping in AED. Open media 1 in modal ... BELEAEV CAVIAR & GOURMET LTD. 85 Great Portland Street, London, ...","""gourmet"" ""gift voucher"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,belenka.com,Gift Voucher | Be Lenka,https://www.belenka.com/gift-voucher/,Gift Voucher | Be Lenka,... clothing. Women's clothing. T-shirts · Pants · Skirts · Shirts. Accessories ... Gift Voucher. Gift Voucher. 1/ 1. Gift. Voucher. 4.97 74 reviews. Give the gift of ...,"""clothing"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,biologique-skincare.com,GIFT CARDS - Biologique Skincare,https://biologique-skincare.com/collections/gift-cards?srsltid=AfmBOoodW_YbZycZHN-U0gIY8i0szUi9JxgdcztPRL51xRZR5-1aC9qI,GIFT CARDS - Biologique Skincare,"CHF 1000.00. E-GIFT CARD. E-GIFT CARD. From CHF 100.00. MAIN MENU. Main menu. HOME ... Switzerland. For a personalized treatment experience, we invite you to ...","""Switzerland"" beauty ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
65,blackboxmycar.com,BlackboxMyCar Gift Voucher,https://www.blackboxmycar.com/products/blackboxmycar-gift-card?srsltid=AfmBOoq_kEg5N9iOVDegFf2daFt9cP3e7v-Kzw642DljkjMqyNsOQkme,BlackboxMyCar Gift Voucher,The perfect gift for that special someone.,"""car accessories"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
80,borujewelry.com,Boru Jewelry Gift Voucher,https://borujewelry.com/products/boru-jewelry-gift-vocuher?srsltid=AfmBOopX1fa3Sncbi6K-CIfzUhzOsi2RX0ZIGuwC2F2WO0c6iu7Cx6jW,Boru Jewelry Gift Voucher,"Looking for a gift for a loved one, family member, friend or colleague but don't know quite what to get them? Why not opt for a Boru Jewelry Gift Voucher!","""jewelry"" ""gift voucher"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,brasmedicalspa.com,Bras Medical Spa Gift Card,https://brasmedicalspa.com/products/bras-medical-spa-gift-card?srsltid=AfmBOoqvFra5nPLfPLf3baBiV-ED7fNUofb318G8lTkxe34ZsuS8JoiI,Bras Medical Spa Gift Card,Bras Medical Spa Gift Card · Special Order Request.,"""medical spa"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,bryant.dental,Gift Cards | Bryant Dental – Empower Clinicians with Transformative ...,https://bryant.dental/gift-cards,Gift Cards | Bryant Dental – Empower Clinicians with Transformative ...,Southwest Dental Conference . Register for trade show. This gift card could change someone's life. Every product we make is truly transformative and the ...,"""dental"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,budgettravel.ie,Budget Travel Gift Vouchers,https://www.budgettravel.ie/gift-vouchers,Budget Travel Gift Vouchers,Give the gift of travel with a Budget Travel gift voucher! Perfect for any ... Spain Back. Costa Del Sol · Benalmadena · Fuengirola · Malaga · Nerja ...,"""Spain"" travel ""gift voucher"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
85,butik.louisiana.dk,Gift cards for Louisiana,https://butik.louisiana.dk/en-eu/pages/gavekort?srsltid=AfmBOorT7VANkxQC-RMP4cg1HbRZG25UVv_1a3BXzrwhFG5IYNtpJXia,Gift cards for Louisiana,"Entrance Experience all the exhibitions, the museum's popular park and beautiful architecture. Choose a gift card for DKK 145 for one ticket. Shop and Webshop ...","""museum"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,carwerkz.com,Gift Voucher Products - CarWerkz.com,https://www.carwerkz.com/collections/gift-voucher-products,Gift Voucher Products - CarWerkz.com,Car Accessories · 3D Car Mat · Car Decal · Mobile Phone Accessories ... Gift Voucher Products. Filter. 133 Results. Sort: Alphabetically ...,"""car accessories"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,chigee.com,CHIGEE Gift Card - Perfect for Motorcycle Lovers,https://www.chigee.com/products/chigee-gift-card?srsltid=AfmBOorC8ibdYXNMypJe88HNd7FBy7oa8PJJDF6361rCLSm51mJHlp-n,CHIGEE Gift Card - Perfect for Motorcycle Lovers,"A Chigee gift card lets them hand-pick the premium motorcycle parts, accessories and gear they truly want. Our gift cards are emailed instantly and come ...","""motorcycle"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,cityexperiences.com,Gift Cards - City Experiences | City Cruises | Walks,https://www.cityexperiences.com/el/gift-cards/,Gift Cards - City Experiences | City Cruises | Walks,"To purchase a Gift Card for our City Cruises UK products in GBP, please visit here. ... Ferry & Transportation. City Ferry Logo. Facebook · Instagram · Twitter ...","""ferry"" ""gift card"" Greece",4,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,connections.be,Order now your Gift Card | Connections.be,https://www.connections.be/en/gift-card,Order now your Gift Card | Connections.be,The gift voucher can be redeemed in our Connections travel shops (not online). ... Meet the Connections crew in our Travel Shops located all over Belgium. All ...,"""Belgium"" travel ""gift voucher"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,connollybooks.org,Connolly Books Gift Voucher,https://www.connollybooks.org/product/gift-voucher,Connolly Books Gift Voucher,... Connolly Books Gift Voucher. Product Code: Gift-Voucher. Rating: Be the first to write a review. Weight: 5.0g. Product Condition: New. With a ...,"""books"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
65,creedboutique.com,Creedboutique,https://creedboutique.com/products/e-gift-card?srsltid=AfmBOoo3qXP6SLLzDXP_dESBbEkLBCVVrj9M5NenK0LOA645W0ZBgPMt,E-Gift Card | Luxury Fragrance Gift Voucher,"With Creed fragrances the finished perfume will always follow the same identical formula, but also breathe out an individual signature, just as a precious wine ...","""perfume"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
80,cultival.fr,Offering a cultural tour: the Cultival gift voucher,https://www.cultival.fr/en_GB/taxons/indiv/cultival-discover-the-cultival-gift-range?srsltid=AfmBOoqy_b1xBLmvHjV4JvFxVxrn_t6uAkwjIqI22bHnmoa7ROgumwzp,Offering a cultural tour: the Cultival gift voucher,Gift Voucher Gift voucher for Clairefontaine. French National Football ... Gift Voucher Stade de France gift voucher. Stade de France · passages-couverts ...,"""France"" travel ""gift voucher"" official",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
80,dacinzia.be,Da Cinzia Gift Card | Women's Fashion Belgium - Perfect Gift,https://www.dacinzia.be/en/products/offrez-une-carte-cadeau-da-cinzia-mode-tendance-style-feminin?srsltid=AfmBOorihSKV0vxpSRP7gA7prs_GcvSsOhUiNybRUwarcfnXMKZxxuE5,Da Cinzia Gift Card | Women's Fashion Belgium - Perfect Gift,"Da Cinzia Gift Card | Trendy & Elegant Women's Fashion. Da Cinzia Gift Card ... Be sure to please with Da Cinzia, your women's fashion boutique in Belgium.","""Belgium"" fashion ""gift card"" official",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,danessamyricksbeauty.eu,Danessa Myricks Beauty €50 Gift Card,https://danessamyricksbeauty.eu/gift-card-50?srsltid=AfmBOoqNkHZKKVgdIboi9ug-70LYXJuMnCpAYtG7cyyuCaB9_eF5yjVW,Danessa Myricks Beauty €50 Gift Card,Give the gift of beauty with a Danessa Myricks Beauty €50 Gift Card ... Beauty Europe. Read our Terms and Conditions ... official email addresses. Visit ...,"""Europe"" beauty ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
70,deanog.nl,Deanog Gift Card | Gift Voucher for Leather Bags & Accessories,https://www.deanog.nl/en/products/deanog-giftcard?srsltid=AfmBOorCRbCDdvhgvmxu6IsgyLMAWt6rkRX5sAqSagjgcCzuAsgaSQu4,Deanog Gift Card | Gift Voucher for Leather Bags & Accessories,"Give the Deanog Giftcard as a gift. A timeless gesture for handmade leather bags and accessories, freely redeemable in the webshop.","""leather"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,dentalhygienenation.com,Gift Card - Dental Hygiene Nation,https://www.dentalhygienenation.com/products/gift-card?srsltid=AfmBOooRl9HXCNQY9P8Hm5elJgCQhnbEbjAXDZGxlun6XSD5nmC03dFN,Gift Card - Dental Hygiene Nation,"Let them choose themselves with a Dental Hygiene Nation gift card! Our gift cards are delivered via email and can be redeemed at checkout. Oh, and did we ...","""dental"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
