bucket,reason,domain,merchantName,possibleOfficialUrl,title,score,occurrences,notes,sourceFiles
REJECT,editorial_reseller_platform_or_promo_signal,capri.org.au,Buy a Gift Voucher,https://capri.org.au/buy-a-gift-voucher/,Buy a Gift Voucher,100,5,The Capri is an independent not-for-profit cinema run by a network of generous volunteers. ... Gift Voucher · Contact · Events · History of the Capri · News · Our ...,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,carddepot.com,Buy Discount Gift Cards — Card Depot,https://carddepot.com/,Buy Discount Gift Cards — Card Depot,85,1,Save big with discount gift cards from your favorite brands. Shop smarter with Card Depot — gift cards that never expire and always keep money in your pocket.,data\discovery\mega-harvest-v6\clean-v6\review.csv
REJECT,editorial_reseller_platform_or_promo_signal,christinabrampti.com,GIFT CARD TERMS & CONDITIONS,https://christinabrampti.com/pages/gift-card-terms-conditions?srsltid=AfmBOor68jY0oSbNlZ3ihBQenf_aQ9bnuKJmjtHpmlS5tGk6rNcPJ9OP,GIFT CARD TERMS & CONDITIONS,100,1,"... Athens, TIN: 062617994 Tax At. ... HOME DECOR · GIFT IDEAS · GIFT CARD · News · About Us · Contact Us · Become a B2B Partner · Log in · Instagram · Facebook ...",data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,coinsbee.com,Buy Electroholic.gr Gift Cards with Crypto,https://www.coinsbee.com/en/gift-cards/electronics/electroholic-gr/,Buy Electroholic.gr Gift Cards with Crypto,100,3,"This versatile e-gift card works like a convenient Electroholic.gr prepaid card for electronics, ideal for upgrading laptops, smartphones, gaming gear, ...",data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,corfutravelco.com,Win a €100 Venetian Well Gift Voucher in Corfu Town — Corfu ...,https://www.corfutravelco.com/travel-guide/win-a-100-venetian-well-gift-voucher-discover-one-of-corfu-towns-most-romantic-restaurants,Win a €100 Venetian Well Gift Voucher in Corfu Town — Corfu ...,100,1,"Enter the Corfu Travel Co giveaway for the chance to win a €100 gift voucher for The Venetian Well, one of Corfu Old Town's most romantic restaurants.",data\discovery\mass-harvest-v5\clean-v5.5\review.csv
REJECT,editorial_reseller_platform_or_promo_signal,danessamyricksbeauty.eu,Danessa Myricks Beauty €50 Gift Card,https://danessamyricksbeauty.eu/gift-card-50?srsltid=AfmBOoqNkHZKKVgdIboi9ug-70LYXJuMnCpAYtG7cyyuCaB9_eF5yjVW,Danessa Myricks Beauty €50 Gift Card,100,4,Give the gift of beauty with a Danessa Myricks Beauty €50 Gift Card ... Beauty Europe. Read our Terms and Conditions ... official email addresses. Visit ...,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v2\manual-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,democratandchronicle.com,"Bed, Bath & Beyond is accepting Toys R Us gift cards, but ...",https://www.democratandchronicle.com/story/news/2018/04/04/bed-bath-beyond-accepting-toys-r-us-gift-cards-but-not-long/484786002/,"Bed, Bath & Beyond is accepting Toys R Us gift cards, but ...",100,5,"Anyone with an unused Toys R Us gift card can exchange it for credit at Bed, Bath & Beyond. Bed Bath & Beyond. But the deal ends soon.",data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,en.aegeanair.com,AEGEAN Gift Card,https://en.aegeanair.com/flight-deals/gift-card/,AEGEAN Gift Card,100,1,"... sports equipment, or pet/animal transportation) via ""My Booking"". Who can ... Gift Voucher promo code. What if the flight I used my AEGEAN Gift Card is ...",data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv
REJECT,editorial_reseller_platform_or_promo_signal,epixeiro.gr,SKY gift μια e,https://www.epixeiro.gr/business-news/article/304510/sky-gift-mia-e-dorokarta-ghia-olo-to-khrono-apo-ti-sky-express,SKY gift μια e-δωροκάρτα για όλο το χρόνο από τη SKY express,80,5,"SKY gift μια e-δωροκάρτα ... Πρόκειται για το «SKY gift», μία e-δωροκάρτα με ... Η Marine Tours εντάσσεται στο δίκτυο υποστηρικτών της πρωτοβουλίας ΕΛΛΑ-ΔΙΚΑ ΜΑΣ.",data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,eqs-news.com,Citycon launches a new shopping centre gift card ...,https://www.eqs-news.com/news/corporate/citycon-launches-a-new-shopping-centre-gift-card-in-finland-and-estonia/0c5f9c17-5bfd-4020-b94b-3423258d7980,Citycon launches a new shopping centre gift card ...,100,4,"Citycon launches a new shopping centre gift card in Finland and Estonia ... In Finland, the gift card can first be used in five shopping centres: Iso ...",data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,era.com.cy,ANNOUNCEMENT REGARDING GIFT CARDS ISSUED ... - ERA,https://era.com.cy/general/announcement-regarding-gift-cards-issued-by-ermes-department-stores-plc/,ANNOUNCEMENT REGARDING GIFT CARDS ISSUED ... - ERA,100,4,"ANNOUNCEMENT REGARDING GIFT CARDS ISSUED BY ERMES DEPARTMENT STORES PLC As of 1st of December 2024, the Gift Card Terms and Conditions are being ...",data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,europages.co.uk,Gift card printing Greece | B2B companies and suppliers,https://www.europages.co.uk/companies/greece/gift-card-printing.html,Gift card printing Greece | B2B companies and suppliers,65,6,All Companies and suppliers for gift-card-printing ✓Find wholesalers and contact them directly ✓Leading B2B martketplace ➤ Find companies now!,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,expats.cz,Gift voucher guide 2022: From spa stays to culture tips for ...,https://www.expats.cz/czech-news/article/looking-for-the-perfect-christmas-gift,Gift voucher guide 2022: From spa stays to culture tips for ...,80,5,"Give your loved ones a choice of fine dining experiences with the Ambiente Group gift card, accepted at 28 restaurants and businesses.",data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,support_news_blog_dev_or_promo_subdomain,faq.sephora.gr,Πώς μπορώ να χρησιμοποιήσω τη Gift card μου διαδικτυακά;,https://faq.sephora.gr/s/article/%CE%9C%CF%80%CE%BF%CF%81%CF%8E-%CE%BD%CE%B1-%CE%B1%CE%B3%CE%BF%CF%81%CE%AC%CF%83%CF%89-%CE%BC%CE%B9%CE%B1-Gift-Card%CF%83%CF%84%CE%BF-Sephora-gr,Πώς μπορώ να χρησιμοποιήσω τη Gift card μου διαδικτυακά;,100,2,Για να χρησιμοποιήσετε τη Gift card σας ... Μπορείτε να επικοινωνήσετε με την Εξυπηρέτηση Πελατών 2111000800 αναφέροντας τον αριθμό της Gift card σας.,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\review-universe-v1\still-review.csv | data\discovery\review-universe-v4-1\manual-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,finance.yahoo.com,Austria Gift Card Business Intelligence Report 2026,https://finance.yahoo.com/news/austria-gift-card-business-intelligence-155500154.html,Austria Gift Card Business Intelligence Report 2026,100,4,The Gift Card market in Austria is expected to grow by 7% on annual basis to reach US$1.56 billion in 2026. The gift card market in the country ...,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,fiscal-requirements.com,New document was uploaded: Gift Card Treatment – Bulgaria ...,https://www.fiscal-requirements.com/news/670-new-document-was-uploaded-gift-card-treatment-bulgaria,New document was uploaded: Gift Card Treatment – Bulgaria ...,100,4,New document was uploaded: Gift Card Treatment – Bulgaria. Private | Bulgaria | Author: Kristina Dosen | Subject: Fiscal subject related | Views: 733 | Date ...,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,flyone.eu,Gift Voucher - Terms and Conditions,https://flyone.eu/en/Gift-Voucher-Terms-Conditions,Gift Voucher - Terms and Conditions,100,5,Gift Voucher - Terms and Conditions. How to book. MyFLYONE · Fare Families · MyBookings · Passenger ... IOSA Registered Airline · Privacy policy · Cookies · Terms ...,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,fredericmalle.eu,Gift Card Terms and Conditions - Frederic Malle,https://www.fredericmalle.eu/terms-giftcard,Gift Card Terms and Conditions - Frederic Malle,100,1,"Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Monaco ... Any issue with using the Gift Card (e.g. Gift Card number or secret code not ...",data\discovery\mega-harvest-v6\clean-v6\review.csv
REJECT,editorial_reseller_platform_or_promo_signal,freelancer.com,URGENT- dental gift voucher design,https://www.freelancer.com/contest/urgent-dental-gift-voucher-design-74937,URGENT- dental gift voucher design,100,1,"URGENT- dental gift voucher design contest on Freelancer. Enter this Graphic Design contest, find Design jobs or post a similar contest for free!",data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,giftcardplace.com,Place - Buy & Sell Gift Cards For Discount ...,https://www.giftcardplace.com/gift-card-balance-check,Gift Card Place - Buy & Sell Gift Cards For Discount ...,100,1,"Buy gift cards for up to 60% off discount. Sell your gift cards and get up to 90% value as cash. GiftCardPlace.com is the largest discount gift card marketplace, where you can compare the gift card discounts and save money.",data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\review-universe-v2\manual-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,globenewswire.com,Italy Gift Card Business and Investment Report 2026: A,https://www.globenewswire.com/news-release/2026/03/03/3248619/28124/en/italy-gift-card-business-and-investment-report-2026-a-10-98-billion-market-by-2030-featuring-selex-conad-crai-gruppo-vege-esselunga-unicoop-etruria-eurospin-icg-real-estate-ipercoo.html,Italy Gift Card Business and Investment Report 2026: A,100,4,"Italy Gift Card Business and Investment Report 2026: A $10.98 Billion Market by 2030 Featuring Selex, Conad, Crai, Gruppo Vege, Esselunga ...",data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,support_news_blog_dev_or_promo_subdomain,help.flightcentre.co.uk,How to Use a Gift Voucher with Flight Centre,https://help.flightcentre.co.uk/s/article/how-to-use-a-gift-voucher-uk,How to Use a Gift Voucher with Flight Centre,100,4,how-to-use-a-gift-voucher-uk. Article Details. Leisure Content. A Gift Voucher is commonly issued for a Flight Centre promotion or marketing activity. These ...,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,support_news_blog_dev_or_promo_subdomain,help.kmmaltairlines.com,How can I redeem my Gift Voucher?,https://help.kmmaltairlines.com/s/article/How-can-I-redeem-my-gift-voucher,How can I redeem my Gift Voucher?,100,4,How can I redeem my Gift Voucher? Gift vouchers can be redeemed as payment for KM Malta Airlines flights (in both Economy and Business Class) as well as for ...,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,support_news_blog_dev_or_promo_subdomain,help.myswitzerland.com,Where can I find gift vouchers for travelling in Switzerland?,https://help.myswitzerland.com/hc/en-us/articles/360001142669-Where-can-I-find-gift-vouchers-for-travelling-in-Switzerland,Where can I find gift vouchers for travelling in Switzerland?,100,4,Seize the chance and create a voucher that is as unique as the recipient. Link. Find the right gift voucher now ... What can I do in Switzerland in summer?,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,support_news_blog_dev_or_promo_subdomain,help.revolut.com,How to redeem RevPoints for gift cards,https://help.revolut.com/en-GR/help/revpoints/gift-cards/how-to-redeem-gift-cards/,How to redeem RevPoints for gift cards,100,3,Airline Miles · eSIM · Shops · Gift Cards · Stays ... You can use your RevPoints to redeem 2 types of gift cards — a code-redeemable gift card or an auto-applied ...,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,support_news_blog_dev_or_promo_subdomain,help.ryanair.com,Gift Cards,https://help.ryanair.com/hc/en-gb/categories/12503071460881-Gift-Cards,Gift Cards,100,4,"Austria (German). Belgium (Dutch). Belgium (French). Bosnia (English) ... You won't be able to use a Gift Card for car hire, transfers, or hotel bookings.",data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,support_news_blog_dev_or_promo_subdomain,help.spacenk.com,Gift Cards FAQs,https://help.spacenk.com/hc/en-us/articles/360007266053-Gift-Cards-FAQs,Gift Cards FAQs,100,4,... Ireland. We reserve the right to refuse the redemption of any gift card and e-gift card purchased via third party websites. Please note only one e-gift card ...,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,support_news_blog_dev_or_promo_subdomain,help.sportsdirect.gr,"Εφαρμόστε δωροκάρτα, κουπόνι ή πιστωτικό σημείωμα",https://help.sportsdirect.gr/hc/el/articles/6018299813279-%CE%95%CF%86%CE%B1%CF%81%CE%BC%CF%8C%CF%83%CF%84%CE%B5-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-%CE%BA%CE%BF%CF%85%CF%80%CF%8C%CE%BD%CE%B9-%CE%AE-%CF%80%CE%B9%CF%83%CF%84%CF%89%CF%84%CE%B9%CE%BA%CF%8C-%CF%83%CE%B7%CE%BC%CE%B5%CE%AF%CF%89%CE%BC%CE%B1,"Εφαρμόστε δωροκάρτα, κουπόνι ή πιστωτικό σημείωμα",80,6,Δωροκάρτα/Πίστωτική Σημείωση καταστήματος Μόλις προσθέσετε τα προϊόντα σας ... Αρχική σελίδα Κέντρου βοήθειας Sports Direct Greece · Επιστροφή στην κύρια ...,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,support_news_blog_dev_or_promo_subdomain,help.tigerofsweden.com,Can I Pay with a Voucher or a Gift Card?,https://help.tigerofsweden.com/hc/en-us/articles/360011215079-Can-I-Pay-with-a-Voucher-or-a-Gift-Card,Can I Pay with a Voucher or a Gift Card?,100,4,Can I Pay with a Voucher or a Gift Card? ... Please note that gift cards purchased in-store can only be redeemed in physical Tiger of Sweden retail stores and ...,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,support_news_blog_dev_or_promo_subdomain,help.uber.com,Πώς να αγοράσετε και να χρησιμοποιήσετε δωροκάρτες Uber,https://help.uber.com/el-GR/ubereats/restaurants/article/uber-cadeaubonnen-kopen-en-gebruiken-?nodeId=6a654583-8df1-4e6c-a697-8ad81181e8a5,Πώς να αγοράσετε και να χρησιμοποιήσετε δωροκάρτες Uber,85,6,Physical gift cards will be sold at pharmacy or convenience stores ... Uber Gift Card has a PIN/ Serial number. If you add a PIN code to your ...,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v2\manual-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,hotelandcateringreview.ie,The Europe Hotel & Resort Gift Card,https://hotelandcateringreview.ie/2020/give-the-gift-of-luxury-this-christmas-with-the-europe-hotel-resort/the-europe-hotel-resort-gift-card/,The Europe Hotel & Resort Gift Card,100,4,The Europe Hotel & Resort Gift Card. By Hotel and Catering News|2020 ... Europe Hotel & Resort Gift Card. Get Social. #GMA22IRL. Find It.,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\review-universe-v1\still-review.csv
